###MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59125.61293,0,0,0,0,o,0,-2,145.39284,16.06138,2310.31,1995.58,2.84,2.74,7.6,-0.39,18.37,18.92,01a59125o0791o
59125.61707,0,0,0,0,o,0,-2,145.39453,16.06095,2288.58,1956.49,2.69,2.66,73.7,-0.407,18.44,18.96,01a59125o0800o
59125.62709,0,0,0,0,o,0,-2,145.39861,16.05992,2335.52,2029.17,2.61,2.58,15.2,-0.411,18.51,19.03,01a59125o0821o
59125.63991,0,0,0,0,o,0,-2,145.40383,16.05859,2345.25,1910.83,2.62,2.58,-6.2,-0.413,17.84,17.95,01a59125o0848o
59127.6154,-10.922,9.501,-155327,1475748,o,0,0,146.21049,15.85124,7796.7,9031.22,3.42,2.55,4.4,-0.394,18.53,19.26,02a59127o0870o
59127.6209,7.626,0.33,3231752,1065312,o,0,0,146.21272,15.85067,7819.39,9071.21,3.14,2.56,10.7,-0.39,18.58,19.31,02a59127o0882o
59127.63889,0,0,0,0,o,0,-2,146.22,15.8488,7732.94,8952.32,2.74,2.45,0,-0.464,18.37,18.81,02a59127o0920o
59127.64541,0,0,0,0,o,0,-2,146.22263,15.84812,7716.41,9070.66,2.7,2.46,20.3,-0.555,17.34,17.27,02a59127o0934o
59141.61397,0,0,0,0,o,0,-2,151.76377,14.38574,8256.43,6902.95,2.14,2.02,4,-0.397,19.34,20.22,01a59141o0759o
59141.63159,0,0,0,0,o,0,-2,151.77051,14.38393,8229.73,6860.84,2.19,2.05,5.9,-0.395,19.3,20.12,01a59141o0797o
59141.6381,0,0,0,0,o,0,-2,151.773,14.38327,8283.59,6934.5,2.09,2.04,13.3,-0.398,19.03,19.63,01a59141o0811o
59141.64271,0,0,0,0,o,0,-2,151.77476,14.3828,8300.56,6818.56,2.14,2.02,3.6,-0.401,17.93,18.35,01a59141o0821o
59143.63329,8.181,0.001,1938641,2373,c,0,1140.02,152.53888,14.17752,1658.86,1835.46,2.76,2.59,55.9,-0.383,15.51,17.05,02a59143o0921c
59143.64627,7.521,0.183,3561004,652903,c,0,26.56,152.5438,14.1762,1647.88,1953.89,2.55,2.4,52.5,-0.396,14.84,15.95,02a59143o0948c
59148.60846,0,0,0,0,o,0,-2,154.41817,13.6714,5372.57,9579.08,1.88,1.77,-21.8,-0.409,16.24,17.18,01a59148o0907o
59148.61399,0,0,0,0,o,0,-2,154.42021,13.67084,5350.92,9539.18,1.88,1.8,-23.4,-0.408,16.81,17.79,01a59148o0919o
59148.63204,0,0,0,0,o,0,-2,154.42689,13.66905,5401.47,9614.01,1.86,1.78,-35,-0.407,19.01,19.76,01a59148o0958o
59148.63943,0,0,0,0,o,0,-2,154.42962,13.66831,5417.7,9494.81,1.9,1.81,-29.6,-0.407,18.94,19.69,01a59148o0974o
59157.59319,0,0,0,0,o,0,-2,157.69447,12.79155,3262.79,2047.6,2.05,1.93,2.7,-0.407,19.02,19.46,01a59157o0771o
59157.59688,0,0,0,0,o,0,-2,157.69577,12.7912,3240.6,2008.51,1.94,1.84,1.9,-0.414,19.1,19.48,01a59157o0779o
59157.60288,0,0,0,0,o,0,-2,157.69788,12.79064,3295.69,2086.69,2.05,1.88,2.5,-0.409,19.11,19.51,01a59157o0792o
59157.62133,0,0,0,0,o,0,-2,157.70438,12.7889,3307.29,1973.38,2.33,1.85,-4.4,-0.394,19.14,19.64,01a59157o0832o
59179.58598,0,0,0,0,o,0,-2,164.94116,10.95781,9232.23,6445.9,2.12,2.07,49,-0.442,19.52,20.61,02a59179o0840o
59179.59012,0,0,0,0,o,0,-2,164.94238,10.95753,9253.96,6484.35,2.13,2.09,66.2,-0.437,19.58,20.61,02a59179o0849o
59179.607,0,0,0,0,o,0,-2,164.94736,10.95638,9202.13,6409.2,2.11,1.98,42.9,-0.462,19.61,20.64,02a59179o0882o
59179.62147,0,0,0,0,o,0,-2,164.95163,10.95539,9197.98,6527.17,2.11,2.07,60.2,-0.451,19.58,20.55,02a59179o0912o
59181.53584,0,0,0,0,o,0,-2,165.52016,10.82649,216.67,5714.06,2.9,2.7,73.1,-0.404,18.56,19.28,01a59181o0680o
59181.53953,0,0,0,0,o,0,-2,165.52123,10.82625,193.88,5673.19,2.62,2.51,67.2,-0.402,18.7,19.31,01a59181o0688o
59181.54598,0,0,0,0,o,0,-2,165.5231,10.82583,249.45,5751.73,2.62,2.41,73.8,-0.401,18.69,19.35,01a59181o0702o
59181.55013,7.527,0.227,3541925,803296,o,0,0,165.52431,10.82556,10350.78,5783.97,2.77,2.7,74.8,-0.387,18.58,19.24,01a59181o0711o
59181.55381,0,0,0,0,o,0,-2,165.52538,10.82532,10285.56,5698.09,2.66,2.6,83.8,-0.392,18.66,19.27,01a59181o0719o
59181.56349,7.688,0.219,3053161,669368,o,0,0,165.52818,10.8247,10385.68,5819.11,3.05,2.71,0.6,-0.347,18.65,19.34,01a59181o0740o
59181.56441,0,0,0,0,o,0,-2,165.52845,10.82464,261.67,5636.78,2.58,2.45,86,-0.413,18.82,19.47,01a59181o0742o
59181.57456,9.251,0.467,723753,338153,o,0,0,165.53139,10.82398,10401.51,5700.43,2.88,2.81,68.2,-0.371,18.73,19.41,01a59181o0764o
