###MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59183.56769,0,0,0,0,o,0,-2,166.11059,10.69639,1367.29,6941.04,2.13,1.99,-45.1,-0.449,18.56,18.86,02a59183o0421o
59183.57093,0,0,0,0,o,0,-2,166.1115,10.69619,1387.54,6980.28,2.08,1.98,-38.7,-0.445,18.56,18.88,02a59183o0428o
59183.57644,0,0,0,0,o,0,-2,166.11306,10.69585,1332.26,6902.9,2.05,1.99,-2,-0.446,18.65,18.93,02a59183o0440o
59183.58845,0,0,0,0,o,0,-2,166.11646,10.69511,1316.36,7020.28,1.99,1.89,-35.4,-0.455,18.74,19.01,02a59183o0466o
59185.60704,0,0,0,0,o,0,-2,166.68971,10.57309,105.36,1726.28,2.13,1.94,63.8,-0.45,19.21,19.71,01a59185o0916o
59185.60796,0,0,0,0,o,0,-2,166.68997,10.57303,10245.23,1731.74,2.52,2.28,-62.4,-0.391,19.14,19.7,01a59185o0918o
59185.62573,0,0,0,0,o,0,-2,166.69485,10.572,75.07,1687.17,2.45,2.17,10.9,-0.436,19.09,19.74,01a59185o0955o
59185.62758,0,0,0,0,o,0,-2,166.69536,10.57189,133.83,1764.95,2.27,2.22,44.9,-0.424,19.12,19.76,01a59185o0959o
59185.62906,0,0,0,0,o,0,-2,166.69577,10.57181,10212.49,1687.74,2.76,2.38,-71.3,-0.401,19.07,19.78,01a59185o0962o
59185.63182,0,0,0,0,o,0,-2,166.69653,10.57165,150.98,1650.5,2.41,2.25,25.8,-0.436,19.08,19.78,01a59185o0968o
59185.64524,0,0,0,0,o,0,-2,166.70021,10.57087,10263.42,1761.55,2.5,2.22,-65.7,-0.385,19.2,19.76,01a59185o0995o
59185.65004,0,0,0,0,o,0,-2,166.70153,10.57059,10282.64,1645.26,2.54,2.17,-72.5,-0.396,19.18,19.74,01a59185o1005o
59186.61064,0,0,0,0,o,0,-2,166.96972,10.51512,9088.65,693.52,2.19,1.7,-54,-0.478,19.02,19.55,02a59186o0930o
59186.61385,0,0,0,0,o,0,-2,166.97059,10.51495,9109.53,732.95,2.18,1.7,-52.9,-0.474,19.05,19.56,02a59186o0937o
59186.624,0,0,0,0,o,0,-2,166.97335,10.51437,9058.89,655.9,2.22,1.71,-54.2,-0.473,19.03,19.58,02a59186o0959o
59186.63169,0,0,0,0,o,0,0,166.97544,10.51394,9089.34,822.57,2.12,1.79,-60.7,-0.427,15,14.93,02a59186o0975o
59187.61698,0,0,0,0,o,0,-2,167.24702,10.45892,9624.96,800.15,2.19,1.57,-52.9,-0.525,19.07,19.55,02a59187o0890o
59187.62434,0,0,0,0,o,0,-2,167.24899,10.45852,9647.78,840.65,2.19,1.59,-52.9,-0.524,19.08,19.52,02a59187o0906o
59187.64979,0,0,0,0,o,0,-2,167.2558,10.45713,9609.08,767.62,2.15,1.58,-53.9,-0.522,19.1,19.62,02a59187o0957o
59187.65979,0,0,0,0,o,0,-2,167.25848,10.45659,9595.81,887.48,2.19,1.62,-52.8,-0.519,18.97,19.35,02a59187o0976o
59193.60901,0,0,0,0,o,0,-2,168.82299,10.16591,6251.34,2867.98,2.51,2.17,-47.8,-0.382,19.52,20.87,01a59193o0899o
59193.61926,0,0,0,0,o,0,-2,168.8255,10.16547,6228.45,2831.27,2.72,2.04,-4.8,-0.405,19.48,20.77,01a59193o0919o
59193.63292,0,0,0,0,o,0,-2,168.82885,10.1649,6277.67,2905.27,2.21,2.07,-25.8,-0.4,19.55,20.73,01a59193o0947o
59193.63709,0,0,0,0,o,0,-2,168.82987,10.16472,6295.55,2789.15,2.26,2.03,-20.5,-0.394,19.57,20.72,01a59193o0956o
59195.61649,0,0,0,0,c,0,-2,169.32024,10.08478,3159.25,5908.72,2.55,2.43,25.8,-0.396,19.67,21.53,02a59195o0910c
59195.62914,0,0,0,0,c,0,-2,169.32324,10.08431,3185.28,5946.98,2.5,2.36,30.3,-0.395,19.67,21.48,02a59195o0934c
59195.63097,0,0,0,0,c,0,-2,169.32368,10.08424,3128.01,5871.84,2.48,2.38,32.4,-0.399,19.67,21.49,02a59195o0938c
59195.63427,0,0,0,0,c,0,-2,169.32446,10.08411,3109.61,5989.13,2.53,2.38,35,-0.395,19.68,21.49,02a59195o0945c
59197.56157,0,0,0,0,c,0,-2,169.78671,10.01496,4417.49,2577.97,2.38,2.32,-20.3,-0.386,19.79,21.7,01a59197o0618c
59197.56757,0,0,0,0,c,0,-2,169.78809,10.01476,4396.04,2539.02,2.41,2.39,-26.1,-0.387,19.77,21.72,01a59197o0631c
59197.57239,0,0,0,0,c,0,-2,169.7892,10.0146,4450.89,2617.73,2.35,2.22,-88.5,-0.387,19.81,21.72,01a59197o0640c
59197.59126,0,0,0,0,c,0,-2,169.79353,10.01398,4464.7,2502.63,2.27,2.23,-70.7,-0.396,19.85,21.73,01a59197o0679c
59204.5809,0,0,0,0,c,0,-2,171.33193,9.83969,1270.53,8558.69,2.54,2.22,-22.4,-0.372,19.77,21.65,01a59204o0777c
59204.5846,0,0,0,0,c,0,-2,171.33266,9.83963,1246.56,8520.16,2.22,1.98,-66.5,-0.391,19.85,21.65,01a59204o0785c
59204.58784,0,0,0,0,c,0,-2,171.3333,9.83958,1306.85,8599.24,2.65,2.19,-11.3,-0.394,19.73,21.65,01a59204o0792c
59204.598,0,0,0,0,c,0,-2,171.33531,9.83942,1322.47,8483.24,2.64,2.38,-62,-0.363,19.7,21.65,01a59204o0814c
59206.62873,0,0,0,0,c,0,-2,171.7396,9.81251,5829.94,6542.64,2.58,2.34,38.5,-0.405,19.73,21.58,02a59206o0936c
59206.63656,0,0,0,0,c,0,-2,171.74106,9.81243,5853.33,6580.47,2.64,2.34,30.1,-0.404,19.73,21.6,02a59206o0953c
59206.66847,0,0,0,0,c,0,-2,171.74703,9.8121,4693.85,3970.56,2.64,2.38,39.8,-0.403,19.06,20.11,02a59206o1021c
59206.67061,0,0,0,0,c,0,-2,171.74742,9.81208,4712.53,3854.82,2.7,2.36,39.6,-0.404,18.66,19.6,02a59206o1025c
59207.56753,0,0,0,0,c,0,-2,171.92024,9.80383,6172.42,6556.88,2.53,2.35,39.2,-0.408,19.72,21.48,02a59207o0756c
59207.56982,0,0,0,0,c,0,-2,171.92066,9.80382,6192.3,6595.49,2.63,2.46,44.7,-0.398,19.65,21.5,02a59207o0761c
59207.58851,0,0,0,0,c,0,-2,171.92408,9.80368,6140.11,6518.32,2.55,2.34,37.9,-0.404,19.72,21.57,02a59207o0798c
59207.59702,0,0,0,0,c,0,-2,171.92564,9.80362,6120.68,6636.99,2.57,2.37,43.4,-0.404,19.72,21.56,02a59207o0816c
59208.58382,0,0,0,0,c,0,-2,172.1103,9.79724,62.62,4116.04,2.62,2.37,9.4,-0.357,19.72,21.62,01a59208o0824c
59208.58566,0,0,0,0,c,0,-2,172.11062,9.79723,41.23,4077.63,2.44,2.39,17,-0.365,19.76,21.61,01a59208o0828c
59208.59027,0,0,0,0,c,0,-2,172.11144,9.79721,99.07,4155.55,2.43,2.4,-58.4,-0.371,19.75,21.62,01a59208o0838c
59208.5935,0,0,0,0,c,0,-2,172.11202,9.7972,10190.83,4111.88,2.72,2.67,-22.2,-0.367,19.74,21.59,01a59208o0845c
59208.59763,0,0,0,0,c,0,-2,172.11275,9.79718,10171.89,4068.5,3.18,2.63,6.1,-0.333,19.69,21.62,01a59208o0853c
59208.60086,0,0,0,0,c,0,-2,172.11332,9.79716,114.68,4039.37,2.56,2.46,14.3,-0.361,19.7,21.63,01a59208o0860c
59208.60224,8.93,0.048,972674,46451,c,0,0,172.11357,9.79715,10271.95,4193.63,2.97,2.83,-67.3,-0.334,19.69,21.6,01a59208o0863c
59208.61244,0,0,0,0,c,0,-2,172.11538,9.79711,10243.22,4032.93,3.07,2.86,-83.3,-0.326,19.65,21.63,01a59208o0885c
59209.59185,0,0,0,0,o,0,-2,172.29372,9.79352,9844.46,4094.77,2.76,2.59,-63.5,-0.369,19.45,20.88,01a59209o0849o
59209.59461,8.393,0.101,1595314,161401,o,0,0,172.2942,9.79352,9867.93,4098.51,2.47,2.27,-81.3,-0.401,19.6,20.92,01a59209o0855o
59209.59737,0,0,0,0,o,0,-2,172.29467,9.79351,9880.18,4131.23,2.74,2.45,-78.6,-0.386,19.52,20.93,01a59209o0861o
59209.6233,0,0,0,0,o,0,-2,172.29913,9.79346,9892.15,4014.59,2.63,2.49,72.5,-0.385,19.53,20.98,01a59209o0915o
59220.49163,0,0,0,0,o,0,-2,173.92722,9.94491,2160.75,10411.47,2.45,2.24,-14.2,-0.44,19.07,19.93,01a59220o0638o
59220.52091,0,0,0,0,o,0,-2,173.9305,9.94584,2138.97,10372.42,2.15,1.88,-64.9,-0.446,19.3,20.09,01a59220o0700o
59220.53132,0,0,0,0,o,0,-2,173.93166,9.94617,2197.39,10455.38,2.28,2.06,-9.3,-0.44,19.26,20.17,01a59220o0722o
59220.54606,0,0,0,0,o,0,-2,173.9333,9.94664,2217.29,10335.53,2.18,1.87,-22,-0.518,19.13,20.09,01a59220o0753o
59221.56965,0,0,0,0,o,0,-2,174.05065,9.98001,2016.48,262.44,1.99,1.92,13.8,-0.433,19.7,20.92,01a59221o0761o
59221.57149,0,0,0,0,o,0,-2,174.05084,9.98007,1995.79,222.92,2.1,2,28.2,-0.435,19.64,20.92,01a59221o0765o
59221.59662,0,0,0,0,o,0,-2,174.05344,9.98094,2050.25,308.69,2.9,2.28,9.9,-0.434,19.46,20.95,01a59221o0816o
59221.59938,0,0,0,0,o,0,-2,174.05373,9.98104,2068.11,190.6,2.63,2.15,5.9,-0.425,19.52,20.95,01a59221o0822o
59222.63064,0,0,0,0,o,0,-2,174.1651,10.01817,1558.9,6652.93,2.17,2.06,40,-0.434,19.59,20.89,02a59222o0942o
59222.64691,0,0,0,0,o,0,-2,174.16667,10.01878,1536.06,6613.68,2.35,2.27,37.9,-0.425,19.46,20.82,02a59222o0976o
59222.65069,0,0,0,0,o,0,-2,174.16704,10.01892,1594.78,6691.42,2.18,2.12,86.5,-0.439,19.54,20.8,02a59222o0984o
59222.65658,0,0,0,0,o,0,-2,174.16761,10.01914,1611.25,6577.51,2.31,2.14,51.7,-0.426,19.48,20.77,02a59222o0996o
59229.61477,0,0,0,0,c,0,-2,174.73897,10.36248,9578.63,5532.18,2.72,2.66,9.5,-0.377,19.88,21.92,01a59229o0583c
59229.62089,0,0,0,0,c,0,-2,174.73928,10.36286,9600.47,5569.19,2.74,2.68,4.1,-0.382,19.84,21.91,01a59229o0596c
59229.65466,0,0,0,0,c,0,-2,174.74097,10.36491,9551.9,5486.43,2.71,2.47,-84.3,-0.398,19.83,21.88,01a59229o0661c
59229.66554,0,0,0,0,c,0,-2,174.74152,10.36556,9532.76,5600.39,2.65,2.43,-82.3,-0.386,19.66,21.14,01a59229o0681c
59231.51834,0,0,0,0,c,0,-2,174.83904,10.48453,1799.72,9114.55,2.41,2.23,-45,-0.423,19.76,21.74,02a59231o0663c
59231.52017,0,0,0,0,c,0,-2,174.83911,10.48465,1818.06,9152.27,2.38,2.2,-38.6,-0.434,19.77,21.74,02a59231o0667c
59231.52382,0,0,0,0,c,0,-2,174.83925,10.4849,1760.49,9073.83,2.38,2.2,-39.5,-0.421,19.79,21.76,02a59231o0675c
59231.52933,0,0,0,0,c,0,-2,174.83945,10.48528,1739.6,9191.05,2.44,2.21,-45.9,-0.435,19.81,21.77,02a59231o0687c
59233.49211,-5.03,0,-35314491,0,c,0,0,174.91542,10.6239,6622.9,1765.69,2.89,2.71,-51,-0.387,16.99,19.19,01a59233o0151c
59233.49534,0,0,0,0,c,0,-2,174.9155,10.62414,6559,1682.73,2.66,2.22,87.8,-0.424,16.69,18.77,01a59233o0158c
59233.51845,8.537,0.349,1396946,487056,c,0,0,174.91605,10.62587,6680.57,1690.63,2.83,2.74,-19.7,-0.373,16.18,18.43,01a59233o0203c
59234.53598,0,0,0,0,c,0,-2,174.94424,10.70282,2101.3,506.26,2.48,2.19,-63.1,-0.4,19.74,21.65,02a59234o0489c
59237.64058,7.112,0.001,5190206,7484,c,0,4008.59,174.98383,10.9586,4084.5,8145.26,2.27,2.11,-72.9,-0.376,15.18,17.19,01a59237o0070c
59249.65612,0,0,0,0,o,0,-2,174.47447,12.22698,10459.88,9342.79,2.39,1.87,86.3,-0.403,19.11,19.8,01a59249o0179o
59249.66812,0,0,0,0,o,0,-2,174.47334,12.22843,10440.69,9460.12,2.42,2.01,82.8,-0.37,17.92,18.61,01a59249o0205o
59251.55567,0,0,0,0,o,0,-2,174.29721,12.46375,7822.79,7232.73,2.22,2.04,48.1,-0.437,19.69,20.95,02a59251o0637o
59251.55887,0,0,0,0,o,0,-2,174.29686,12.46416,7805.77,7195.74,2.16,1.99,45.6,-0.443,19.69,20.94,02a59251o0644o
59251.57445,0,0,0,0,o,0,-2,174.29514,12.46613,7865.97,7277.02,2.19,2.05,52.5,-0.438,19.68,20.94,02a59251o0676o
59251.58055,0,0,0,0,o,0,-2,174.29446,12.4669,7889.31,7166.98,2.3,2.18,49.2,-0.435,19.6,20.98,02a59251o0689o
59253.46435,0,0,0,0,c,0,-2,174.0927,12.70995,743.76,2004.82,3.41,2.99,26.4,-0.362,19.48,21.95,01a59253o0502c
59253.46757,0,0,0,0,c,0,-2,174.0923,12.71038,723.24,1966.37,3.12,2.76,20.3,-0.381,19.59,21.96,01a59253o0509c
59253.47228,0,0,0,0,c,0,-2,174.09171,12.711,781.84,2043.1,2.37,2.12,-87.4,-0.413,19.67,22.01,01a59253o0519c
59253.49274,0,0,0,0,c,0,-2,174.08917,12.71369,807.65,1936.02,2.67,2.43,38.4,-0.418,19.73,21.98,01a59253o0560c
59255.49675,0,0,0,0,c,0,-2,173.84527,12.98035,1823.04,2220.16,2.52,2.36,46.8,-0.401,19.78,21.85,02a59255o0600c
59255.49858,0,0,0,0,c,0,-2,173.84501,12.9806,1841.82,2260.99,2.49,2.36,47.3,-0.401,19.77,21.86,02a59255o0604c
59255.51897,0,0,0,0,c,0,-2,173.84218,12.98336,1780.47,2178.08,2.52,2.36,46.3,-0.399,19.76,21.86,02a59255o0644c
59255.54755,0,0,0,0,c,0,-2,173.83821,12.98722,8747.96,8189.19,3.05,2.79,37.6,-0.375,19.69,21.87,02a59255o0703c
59257.52773,0,0,0,0,c,0,-2,173.56956,13.25805,9315.06,1774.72,2.9,2.72,-38.1,-0.363,19.76,22,01a59257o0683c
59257.53684,0,0,0,0,c,0,-2,173.56817,13.2593,9334.73,1810.47,2.71,2.55,-35.7,-0.372,19.82,22,01a59257o0701c
59257.57154,0,0,0,0,c,0,-2,173.56288,13.26409,9272.43,1717.01,2.77,2.61,-51.7,-0.374,19.77,21.95,01a59257o0772c
59257.58265,0,0,0,0,c,0,-2,173.56118,13.26562,9248.49,1828.54,2.67,2.5,-51.8,-0.386,19.79,21.94,01a59257o0794c
59261.45632,0,0,0,0,c,0,-2,172.96147,13.81157,2272.85,9753.26,2.2,2,-64.5,-0.411,19.85,21.8,01a59261o0514c
59261.45817,0,0,0,0,c,0,-2,172.96115,13.81183,2254.86,9714.44,2.23,2.11,-59.2,-0.406,19.8,21.79,01a59261o0518c
59261.48303,0,0,0,0,c,0,-2,172.95674,13.8154,2323.85,9800.27,2.16,1.98,-60.5,-0.399,19.88,21.82,01a59261o0569c
59261.48677,0,0,0,0,c,0,-2,172.95607,13.81594,2345.24,9682.14,2.18,2.01,-60,-0.396,19.87,21.82,01a59261o0577c
59263.52746,0,0,0,0,c,0,-2,172.60221,14.10945,5529.86,4607.22,2.54,2.25,41.2,-0.401,17.68,19.37,02a59263o0386c
59267.49657,0,0,0,0,o,0,-2,171.851,14.68529,8139.38,9328.96,2.22,2.1,-60.6,-0.441,19.45,20.49,02a59267o0577o
59267.50147,0,0,0,0,o,0,-2,171.84997,14.686,8121.9,9292.03,2.36,2.23,50.4,-0.437,19.45,20.5,02a59267o0587o
59267.50945,0,0,0,0,o,0,-2,171.8483,14.68716,8181.95,9373.02,2.22,2.11,-69.2,-0.436,19.5,20.52,02a59267o0603o
59267.52196,0,0,0,0,o,0,-2,171.84567,14.68897,8208.85,9262.23,2.35,2.27,66.6,-0.43,19.47,20.57,02a59267o0629o
59267.53771,0,0,0,0,o,0,-2,171.84237,14.69125,8175.68,9324.8,2.33,2.25,55.9,-0.431,19.51,20.66,02a59267o0660o
59269.36081,0,0,0,0,o,0,-2,171.47344,14.95539,3436.52,7883.3,2.59,2.31,-78.9,-0.416,18.86,19.48,01a59269o0322o
59269.36896,0,0,0,0,o,0,-2,171.47169,14.95658,3419.87,7847.55,2.18,1.96,-77.6,-0.422,19.06,19.52,01a59269o0339o
59269.37451,0,0,0,0,o,0,-2,171.47049,14.95739,3482.07,7923.18,2.2,2.04,-76.2,-0.42,19.05,19.54,01a59269o0351o
59269.38442,0,0,0,0,o,0,-2,171.46835,14.95884,3510.41,7810.93,2.31,2.17,-68.2,-0.405,19.03,19.58,01a59269o0371o
59277.48571,0,0,0,0,o,0,-2,169.677,16.09714,8816.02,6646.59,2.12,1.89,-87.2,-0.43,19.62,20.45,01a59277o0542o
59277.49093,0,0,0,0,o,0,-2,169.67574,16.09784,8833.2,6682.96,2.26,2.04,-83.9,-0.436,19.51,20.43,01a59277o0553o
59277.49386,0,0,0,0,o,0,-2,169.67503,16.09823,8772.85,6604.87,2.27,2.08,-89.4,-0.426,19.49,20.42,01a59277o0559o
59277.5468,0,0,0,0,o,0,-2,169.66224,16.10529,8740.53,6703.89,2.91,2.68,-84.2,-0.4,19.15,20.32,01a59277o0609o
59287.36651,0,0,0,0,c,0,-2,167.35911,17.30565,9003.69,2373.85,2.84,2.65,-54.6,-0.389,18.83,20.91,02a59287o0298c
59287.36969,0,0,0,0,c,0,-2,167.35834,17.30599,9022.73,2412.84,2.72,2.56,-53.6,-0.398,16.79,18.75,02a59287o0304c
59287.37529,0,0,0,0,c,0,-2,167.35698,17.3066,8964.36,2334.94,2.69,2.56,-30.7,-0.42,18.02,20.03,02a59287o0316c
59287.38035,0,0,0,0,c,0,-2,167.35575,17.30715,8942.31,2450.41,2.61,2.45,-49.4,-0.511,17.75,19.69,02a59287o0327c
59291.38617,0,0,0,0,c,0,-2,166.44261,17.7091,575.72,5054.81,2.41,2.36,-0.9,-0.401,19.75,21.67,02a59291o0129c
59291.38902,0,0,0,0,c,0,-2,166.44195,17.70936,594.57,5093.44,2.35,2.24,-44.5,-0.407,19.82,21.68,02a59291o0135c
59291.39223,0,0,0,0,c,0,-2,166.4412,17.70966,534.56,5013.5,2.41,2.31,-38.2,-0.407,19.75,21.68,02a59291o0142c
59291.41781,0,0,0,0,c,0,-2,166.43522,17.71204,9994.77,5351.34,2.56,2.48,39,-0.402,19.76,21.71,02a59291o0195c
59293.41567,0,0,0,0,o,0,-2,165.99674,17.88956,2227.04,982.29,1.85,1.7,54.7,-0.452,19.89,21.1,01a59293o0306o
59293.42178,0,0,0,0,o,0,-2,165.99535,17.89008,2245.01,1018.29,1.81,1.73,38.4,-0.454,19.93,21.17,01a59293o0319o
59293.44585,0,0,0,0,o,0,-2,165.9899,17.8921,2181.9,931.01,1.81,1.64,67,-0.449,19.95,21.23,01a59293o0366o
59293.45951,0,0,0,0,o,0,-2,165.9868,17.89325,2160.25,1044.95,1.9,1.73,73.8,-0.447,19.92,21.15,01a59293o0394o
59297.4243,0,0,0,0,o,0,-2,165.16269,18.19693,8708.85,419.51,2.38,2.05,-72.6,-0.415,19.12,19.56,01a59297o0298o
59297.43837,0,0,0,0,o,0,-2,165.15974,18.19787,8723.84,454.18,2.31,2.07,-68.8,-0.395,19.09,19.54,01a59297o0326o
59297.44806,0,0,0,0,o,0,-2,165.15771,18.19853,8665.34,374.29,2.35,2.07,-73.8,-0.414,19.08,19.5,01a59297o0345o
59297.45222,0,0,0,0,o,0,-2,165.15684,18.1988,8643.53,491.89,2.35,2.11,-73.7,-0.407,19.04,19.48,01a59297o0354o
59303.38735,0,0,0,0,o,0,-2,164.06621,18.52862,4315.67,8909.61,2.12,2.06,-82.8,-0.433,18.96,19.35,02a59303o0173o
59303.39019,0,0,0,0,o,0,-2,164.0657,18.52874,4299.83,8873.65,2.07,2,-75.5,-0.446,18.97,19.31,02a59303o0179o
59303.39593,0,0,0,0,o,0,-2,164.06468,18.52898,4358.03,8954.46,2.19,2.07,-58.5,-0.428,18.9,19.32,02a59303o0191o
59303.40573,0,0,0,0,o,0,-2,164.06294,18.5294,4381.05,8836.87,2.16,2.1,78.7,-0.42,18.89,19.31,02a59303o0212o
59304.51938,0,0,0,0,o,0,-2,163.87939,18.57417,10067.25,1709.59,2.35,1.92,-77.8,-0.412,18.51,18.76,01a59304o0632o
59304.52956,0,0,0,0,o,0,-2,163.8777,18.57453,10085.71,1749.97,2.58,2.17,-78.5,-0.384,16.93,16.69,01a59304o0653o
59304.55794,0,0,0,0,o,0,-2,163.87302,18.57552,10014.4,1683.08,2.67,2.07,-84.8,-0.395,17.33,17.35,01a59304o0710o
59304.56091,0,0,0,0,o,0,-2,163.87253,18.57562,9991.18,1800.17,2.65,2.13,-81.5,-0.397,16.78,17.29,01a59304o0716o
59305.51502,0,0,0,0,o,0,-2,163.72264,18.60985,9770.82,1646.6,2.58,2.2,-77.2,-0.392,19.02,19.54,01a59305o0609o
59305.51886,0,0,0,0,o,0,-2,163.72203,18.60997,9788,1685.09,2.39,2,-81.6,-0.405,19.06,19.51,01a59305o0617o
59305.52598,0,0,0,0,o,0,-2,163.72089,18.61019,9728.88,1609.69,2.34,1.98,-79.1,-0.405,19.07,19.42,01a59305o0630o
59305.55155,0,0,0,0,o,0,-2,163.71683,18.61097,9702.93,1732.79,2.57,1.95,-86.3,-0.433,18.6,18.99,01a59305o0681o
59309.353,0,0,0,0,c,0,-2,163.17947,18.7079,8735.96,1483.79,2.52,2.27,-60.4,-0.391,19.99,21.71,01a59309o0144c
59309.35846,0,0,0,0,c,0,-2,163.17871,18.708,8755.59,1520.17,2.44,2.3,-84.9,-0.417,19.98,21.7,01a59309o0155c
59309.3655,0,0,0,0,c,0,-2,163.17773,18.70811,8698.02,1443.28,2.52,2.4,-59,-0.374,19.99,21.72,01a59309o0170c
59309.36996,0,0,0,0,c,0,-2,163.17711,18.70819,8677.49,1559.37,2.59,2.33,-81,-0.394,19.94,21.71,01a59309o0179c
