MJD,m,dm,uJy,duJy,SNR,F,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
57705.54709,7.326,0.065,4262960,275944,15.448641753,o,126.61175,18.97613,902.82,3870.61,3.62,3.48,-74.5,-0.445,18.61,19.45,02a57705o0657o
57705.56284,7.252,0.097,4561904,441252,10.338545774,o,126.61376,18.97621,850.79,3795.86,3.61,3.44,-83.8,-0.443,18.67,19.51,02a57705o0680o
57705.57885,7.216,0.052,4716263,245540,19.207717683,o,126.61579,18.9763,836.05,3913.32,3.69,3.54,-88.5,-0.438,18.67,19.55,02a57705o0703o
57705.59507,5.932,0.03,15394785,463831,33.190504731,o,126.61784,18.97639,873.33,3858.23,3.63,3.5,-83,-0.441,18.72,19.62,02a57705o0724o
57737.47206,6.779,0.241,7054994,1700844,4.147937141,o,127.38891,20.17401,4522.89,1415.39,3.62,3.52,-63.3,-0.448,18.15,18.64,02a57737o0524o
57745.51448,8.309,0.151,1723614,261029,6.603151373,c,126.37972,20.8267,4167,8781.05,3.81,3.63,11.5,-0.45,19.7,21.72,02a57745o0605c
57745.52927,7.982,0.046,2328245,107248,21.708982918,c,126.37728,20.82802,6405.52,1747.87,3.84,3.76,-81.3,-0.39,19.66,21.59,02a57745o0631c
57745.54073,8.545,0.086,1386902,119092,11.645635307,c,126.37538,20.82903,6429.61,1636.72,4.44,3.93,-0.2,-0.379,19.53,21.52,02a57745o0649c
57745.56621,8.091,0.038,2107448,80721,26.107803421,c,126.37118,20.83128,6399.86,1700.24,4.43,4.09,-0.9,-0.38,19.47,21.44,02a57745o0691c
57753.48272,6.68,0.118,7726067,913284,8.45965439,c,124.92042,21.58212,3891.44,6530.98,3.69,3.63,72.1,-0.399,18.33,20.23,02a57753o0427c
57753.49552,8.332,0.25,1686759,421382,4.002921339,c,124.91762,21.5834,6596.8,3875.38,3.76,3.56,85.8,-0.38,18.53,20.41,02a57753o0450c
57753.50962,7.866,0.115,2592145,297048,8.726350623,c,124.91453,21.58481,6653.92,3954.3,3.74,3.54,84.4,-0.383,18.05,19.91,02a57753o0476c
57753.5199,7.446,0.042,3814679,161127,23.674983087,c,124.91228,21.58583,6678.7,3844.36,3.73,3.51,88,-0.39,18.97,20.84,02a57753o0493c
57753.53084,7.984,0.185,2324378,429353,5.413675926,c,124.90988,21.58692,6645.98,3902.97,3.73,3.53,86.7,-0.391,18.53,20.35,02a57753o0513c
57757.46882,6.779,0.041,7050766,288723,24.420520706,c,124.04199,21.98741,9540.85,5684.99,3.79,3.27,-85.2,-0.426,19.71,21.61,02a57757o0503c
57758.37005,7.089,0.047,5300012,247877,21.381620723,c,123.83259,22.08047,10074.77,5330.46,4.11,3.63,81.8,-0.43,19.25,20.83,02a57758o0332c
57758.38787,6.907,0.044,6267315,273104,22.948455533,c,123.82825,22.08235,9756.94,6788.48,3.98,3.4,89,-0.421,19.36,20.96,02a57758o0365c
57761.44334,6.307,0.28,10892041,3047360,3.574254764,o,123.08684,22.40096,9279.59,3702.95,3.73,3.22,-89.5,-0.442,18.92,20.05,02a57761o0435o
57769.4975,5.875,0.205,16213740,3325849,4.87506799,o,120.98023,23.23916,6679.52,6698.5,3.63,3.59,-22.9,-0.436,18.78,19.91,02a57769o0472o
57777.44698,7.581,0.161,3368801,543215,6.201597894,c,118.81512,24.02069,7523.75,7190.69,3.87,3.53,85.3,-0.41,19.68,21.65,02a57777o0478c
57781.44241,8.005,0.096,2280509,218628,10.431001518,c,117.75107,24.38086,9764.96,8212.31,3.92,3.51,-83.8,-0.422,19.72,21.74,02a57781o0403c
57789.37023,7.907,0.102,2495928,253465,9.8472294,o,115.80156,25.0093,4684.39,1905.05,4.37,4.32,-17.8,-0.352,18.78,20.25,02a57789o0299o
57797.39849,4.128,0.01,81065781,802518,101.014283791,o,114.17177,25.51453,3984.51,9202.89,3.84,3.71,-30.2,-0.631,18.57,19.92,01a57797o0357o
57797.40853,7.119,0.161,5158170,832672,6.194720129,o,114.16992,25.51503,9073.55,1894.91,3.74,3.34,89.1,-0.458,18.74,19.72,02a57797o0253o
57797.42004,4.164,0.01,78413266,786548,99.692918931,o,114.16777,25.51567,3923.59,9122.65,3.77,3.64,-22.1,-0.63,18.57,19.88,01a57797o0394o
57797.42602,4.339,0.009,66760940,576948,115.713963823,o,114.16666,25.51598,3905.1,9241.2,3.75,3.66,-28.7,-0.648,18.57,19.87,01a57797o0405o
57801.35745,3.074,0.019,214021802,4156296,51.493397486,o,113.53124,25.71375,671.61,9983.45,4.07,3.98,-82.6,-0.585,18.87,20.74,01a57801o0229o
57801.3696,3.211,0.043,188561756,8148472,23.140750314,o,113.52934,25.71431,687.51,10022.31,4.02,3.84,-82.5,-0.609,18.87,20.75,01a57801o0251o
57801.37347,5.168,0.057,31092666,1784029,17.428341131,o,113.52873,25.71448,366.5,150.67,4.7,4.45,-86.2,-0.505,18.87,20.76,01a57801o0258o
57803.35051,3.75,0.017,114846794,2009258,57.158808873,o,113.25373,25.80175,1212.46,7290.47,4.58,4.34,-88.4,-0.504,18.79,20.85,01a57803o0120o
57803.36236,3.301,0.014,173577194,2404960,72.174669848,o,113.25206,25.80224,1228.25,7329.37,4.48,4.32,85.5,-0.513,18.82,20.86,01a57803o0142o
57803.37454,3.648,0.013,126172711,1652577,76.349066336,o,113.25034,25.80274,1170.26,7251.18,4.55,4.35,-81.4,-0.512,18.81,20.89,01a57803o0162o
57803.38649,3.167,0.012,196461391,2313681,84.912911935,o,113.24866,25.80323,1133.83,7366.77,4.48,4.23,-83.9,-0.509,18.83,20.87,01a57803o0181o
57805.33878,2.76,0.054,285855485,15333970,18.641974974,o,113.00828,25.8815,2588.9,7718.46,4.08,3.89,-58.5,-0.576,18.83,20.65,01a57805o0232o
57805.35314,2.293,0.121,439340318,53150462,8.265973642,o,113.00649,25.88203,2605.48,7757.04,4.06,3.94,-71.6,-0.57,18.79,20.62,01a57805o0258o
57805.36636,2.535,0.017,351519168,6082249,57.794274453,o,113.00484,25.88253,2550.02,7679.21,4.04,3.91,-65.2,-0.563,18.8,20.59,01a57805o0280o
57805.3873,8.344,0.092,1669156,153593,10.8673963,c,113.00225,25.88327,8713.73,3617.45,4.04,3.76,85.2,-0.386,19.58,21.56,02a57805o0321c
57805.40715,8.38,0.052,1614618,83467,19.344387602,c,112.9998,25.88399,8773.22,3699.17,4.15,3.88,85,-0.384,19.56,21.52,02a57805o0355c
57805.41352,8.381,0.094,1613304,151864,10.623347205,c,112.99901,25.88422,8793.84,3581.4,3.93,3.71,78.7,-0.394,19.6,21.55,02a57805o0367c
57805.43706,8.89,0.125,1009509,126210,7.998645115,c,112.99612,25.88507,8764.32,3640.62,4.01,3.73,81.3,-0.393,19.53,21.51,02a57805o0407c
57807.33794,3.421,0.006,155400001,891584,174.296534033,o,112.79371,25.95373,110.95,7963.22,4.47,4.16,85.1,-0.481,18.84,20.74,01a57807o0173o
