MJD,m,dm,uJy,duJy,SNR,F,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
58703.52095,8.145,0.209,2004414,419034,4.783416142,c,50.17427,10.83197,10228.48,6392.33,2.79,2.59,-62.4,-0.404,19.6,21.37,02a58703o0574c
58709.51476,8.44,0.079,1527390,119914,12.737378454,o,51.68543,11.01733,3313.63,4285.01,3.32,2.88,-10.5,-0.43,17.76,18.61,01a58709o0585o
58712.62173,7.731,0.107,2935048,313071,9.375023556,o,52.41186,11.09098,1692.67,8753.41,3.21,3.08,-37.9,-0.461,17.23,18.14,01a58712o0842o
58874.32153,7.025,0.238,5625573,1340256,4.197386917,c,43.37621,11.36631,570.55,9281.95,2.47,2.08,-47.7,-0.434,19.68,21.39,02a58874o0268c
58877.25275,8.579,0.022,1343821,28979,46.372235066,o,43.84686,11.67482,487.12,5144.54,3.62,2.82,9.3,-0.329,18.86,20.39,01a58877o0111o
58883.33526,8.385,0.225,1606584,360990,4.450494473,o,44.96279,12.33536,7998.39,8651.61,3.22,3.04,-55.1,-0.366,18.31,19.05,02a58883o0295o
58883.34074,7.748,0.264,2888222,762953,3.785583122,o,44.96386,12.33596,8058.19,8733.04,2.91,2.71,-59.6,-0.399,18.39,19.01,02a58883o0306o
58889.2979,7.841,0.195,2652335,516070,5.139486891,o,46.22767,13.00343,643.72,263.78,3.66,3.15,40.1,-0.4,18.31,19.3,01a58889o0186o
58889.30127,7.711,0.254,2989080,758146,3.942617912,o,46.22841,13.0038,665.67,302.48,3.57,3.16,43.3,-0.418,18.34,19.29,01a58889o0193o
58911.25837,7.462,0.244,3760527,917007,4.100870549,o,52.12701,15.53174,8037.8,9396.87,2.52,2.17,-52.9,-0.428,18.93,19.43,02a58911o0077o
58931.24176,7.915,0.264,2476880,653972,3.78744044,c,58.8493,17.74843,1552.85,9102.06,2.43,2.13,-44.8,-0.441,19.29,20.63,02a58931o0053c
58947.24223,9.357,0.175,656300,114551,5.729325802,o,64.94029,19.34399,9700.24,4532.99,2.96,2.8,-67.1,-0.431,17.98,18.3,02a58947o0046o
58961.23257,9.607,0.222,521335,115481,4.514465583,o,70.67064,20.54646,3338.59,10219.67,3.17,3.04,1.6,-0.284,17.52,18.14,01a58961o0005o
58961.23536,8.784,0.076,1112948,84718,13.13709011,o,70.67181,20.54667,3360.98,10258.85,3.15,2.96,6.5,-0.372,17.97,18.68,01a58961o0011o
59181.55013,7.527,0.227,3541925,803296,4.40924018,o,165.52431,10.82556,10350.78,5783.97,2.77,2.7,74.8,-0.387,18.58,19.24,01a59181o0711o
59181.56349,7.688,0.219,3053161,669368,4.561259277,o,165.52818,10.8247,10385.68,5819.11,3.05,2.71,0.6,-0.347,18.65,19.34,01a59181o0740o
59208.60224,8.93,0.048,972674,46451,20.939786011,c,172.11357,9.79715,10271.95,4193.63,2.97,2.83,-67.3,-0.334,19.69,21.6,01a59208o0863c
59209.59461,8.393,0.101,1595314,161401,9.884164286,o,172.2942,9.79352,9867.93,4098.51,2.47,2.27,-81.3,-0.401,19.6,20.92,01a59209o0855o
59390.2617,7.507,0.235,3608258,849441,4.247802966,o,173.87175,10.4066,8546.55,9669.4,2.54,2,-52.4,-0.439,18.56,18.74,02a59390o0041o
59424.25432,9.066,0.089,857968,76122,11.270959775,c,186.06868,3.88054,993.76,8064.94,3.28,3.02,-66.7,-0.31,19.17,20.7,01a59424o0040c
59680.16399,8.714,0.059,1186559,70137,16.917732437,o,316.66498,-17.19977,10112.34,4870.45,2.66,2.13,-48.7,-0.343,18.89,19.61,03a59680o0915o
59680.1747,9.266,0.102,713672,72554,9.836425283,o,316.66962,-17.19886,10141.09,4911.75,2.88,2.3,-31.8,-0.328,17.59,17.34,03a59680o0938o
59714.59229,7.907,0.277,2494779,689986,3.615695101,o,330.00272,-14.54161,5663.69,9985.02,3.48,3.37,42.1,-0.406,18.24,19.02,01a59714o0779o
59714.59878,7.819,0.08,2706446,217575,12.439140526,o,330.00482,-14.54122,5640.55,9945.85,3.6,3.52,72.3,-0.387,18.22,19.06,01a59714o0793o
59730.59224,7.801,0.288,2752802,791594,3.47754278,o,334.75535,-13.79168,6448.29,3266.35,3.53,3.37,-13.8,-0.375,18.88,20.26,01a59730o0770o
59851.99914,7.802,0.207,2750196,568743,4.835568965,c,328.38242,-22.62864,7360.96,4086.25,2.82,2.61,-52.8,-0.375,16.53,18.37,03a59852o0121c
59895.81518,7.076,0.235,5364216,1261071,4.253698641,o,332.61596,-19.58288,1362.86,8224,3.01,2.6,-46.6,-0.387,16.48,17.82,03a59896o0123o
59948.79815,8.475,0.234,1478740,346492,4.267746441,o,348.84911,-11.60827,10418.67,3444.09,2.94,2.58,-63.1,-0.339,17.99,18.39,03a59949o0054o
59948.82316,8.754,0.056,1143449,64418,17.750457946,o,348.85814,-11.60385,323.43,3226.57,3.36,3.03,-69,-0.322,18.06,18.67,03a59949o0109o
59948.82361,8.252,0.051,1815877,91869,19.765938455,o,348.8583,-11.60377,10381.16,3422.63,3.2,2.88,-60.2,-0.338,17.88,18.43,03a59949o0110o
59964.04392,8.99,0.12,920712,110306,8.346889561,o,354.51727,-8.86393,10028.71,2632.4,3.33,2.45,-20.4,-0.401,17.09,18.21,04a59964o0048o
60153.60365,10.012,0.085,359017,30523,11.76217934,c,73.22929,18.10514,3902.87,4692.22,3.62,3.05,7.1,-0.374,18.71,20.41,02a60153o0758c
60153.61989,8.784,0.268,1112757,298758,3.724609884,c,73.23565,18.1059,3843.06,4611.87,3.31,2.57,7.3,-0.378,18.57,19.93,02a60153o0793c
60153.62846,8.541,0.242,1392217,337074,4.130300764,c,73.23901,18.10629,3823.3,4726.48,2.9,2.5,15.1,-0.4,17.3,18.36,02a60153o0809c
60171.60615,9.576,0.116,536495,62436,8.592718944,c,80.06668,18.7271,7848.78,9565.12,2.84,2.82,-12.6,-0.395,19.16,20.66,02a60171o0777c
60171.61258,7.349,0.164,4172206,682605,6.112182008,c,80.06899,18.72726,7869.39,9603.92,2.68,2.61,-38.1,-0.402,19.26,20.68,02a60171o0790c
60171.63489,9.495,0.298,578074,172529,3.350590335,c,80.07703,18.72784,7798.8,9643.86,2.73,2.69,1.5,-0.416,17.7,18.66,02a60171o0835c
60201.59872,9.026,0.063,890098,56030,15.886096733,c,89.82951,19.07175,7399.43,8807.34,3.01,2.29,-51.5,-0.446,19.41,20.96,02a60201o0771c
60201.60189,8.603,0.192,1314578,252042,5.21571008,c,89.83038,19.07176,7420.23,8848.06,3.13,2.29,-54.4,-0.448,19.43,20.97,02a60201o0778c
60216.29872,9.112,0.238,822944,195616,4.206936037,o,93.49688,19.04816,1447.5,9659.7,3.29,2.59,-71.1,-0.315,17.88,18.25,04a60216o0712o
60216.30188,9.537,0.292,555922,162450,3.422111418,o,93.49755,19.04815,1425.68,9621.74,3.22,2.49,-64.2,-0.336,17.82,18.27,04a60216o0719o
60218.30371,9.256,0.104,720505,74638,9.653326723,o,93.92274,19.04123,4739.66,5990.41,3.24,2.96,-66,-0.331,17.83,18.5,04a60218o0706o
60224.26692,8.144,0.092,2006584,184166,10.895518173,o,95.07014,19.02015,6673.91,9672.35,2.91,2.43,-71.4,-0.349,18.39,19.4,04a60224o0401o
60261.46623,8.575,0.049,1349014,66168,20.387710071,c,97.15541,19.22096,10084.12,7720.12,3.25,3.19,-45.2,-0.394,19.29,21.21,02a60261o0515c
60263.49324,7.907,0.015,2496630,36434,68.524729648,c,96.97556,19.26264,5661.87,2035.17,3.24,3.11,68.1,-0.374,19.14,21.02,02a60263o0663c
60263.49504,7.701,0.009,3017039,28618,105.424523027,c,96.97537,19.26269,5681.69,2074.38,2.94,2.85,60.1,-0.388,19.23,21.02,02a60263o0667c
60263.49821,8.046,0.058,2196306,126878,17.310376897,c,96.97504,19.26276,5626.68,1996.96,3,2.87,71.8,-0.392,19.28,21.02,02a60263o0674c
60263.50364,7.694,0.006,3036809,19733,153.894947549,c,96.97447,19.26288,5609.13,2113.74,3.3,3.17,79.1,-0.374,19.15,21.01,02a60263o0686c
60282.52217,7.471,0.066,3727711,245769,15.167539437,o,93.80664,19.83395,9716.55,8586.11,4.7,2.9,-82.7,-0.364,19.57,20.27,01a60282o0207o
60323.39685,7.249,0.036,4576355,163366,28.01289742,o,83.25834,21.55705,1752.55,4207.31,2.61,2.23,41.9,-0.401,19.56,20.85,01a60323o0427o
60334.43791,9.291,0.178,697596,124250,5.614454728,o,81.51545,22.01845,10009.67,5432.66,4.95,3.02,0.9,-0.329,17.62,18.52,02a60334o0519o
60393.29078,1.381,0.008,1017642183,8270379,123.046620112,o,87.52025,24.34817,10077.69,1526.65,3.08,2.19,-55.4,-0.476,18.5,19.02,02a60393o0163o
60394.28288,7.312,0.256,4317244,1106489,3.901750491,o,87.79953,24.37724,9028.72,8274.3,2.48,2.29,-59.7,-0.436,18.69,19.12,02a60394o0135o
60397.26203,6.296,0.093,11005292,1025494,10.731698088,o,88.66342,24.46024,5156.13,10218.56,2.58,2.21,-53,-0.442,19.06,20.05,02a60397o0088o
60399.31581,7.655,0.007,3146843,22541,139.605297014,o,89.27998,24.51341,4243.35,4020.18,2.44,2.21,39.9,-0.415,19.3,20.2,01a60399o0212o
60399.32345,7.603,0.006,3302573,19746,167.252760052,o,89.28228,24.51359,4226.29,4135.36,2.4,2.18,39.9,-0.416,19.28,20.18,01a60399o0228o
60431.24205,7.862,0.018,2601626,46675,55.739175147,o,100.68989,24.81579,708.43,3621.14,2.47,2.24,37.9,-0.388,19.02,19.72,01a60431o0015o
60431.24528,7.972,0.053,2350242,124826,18.828144777,o,100.69117,24.81576,733.97,3661.93,2.48,2.27,38.6,-0.389,19.12,19.8,01a60431o0022o
60432.23618,8.115,0.026,2061241,53308,38.666635401,o,101.08886,24.80663,9391.34,3736.75,2.64,2.6,-89.1,-0.397,18.42,18.78,01a60432o0025o
60432.24588,7.793,0.024,2770910,65655,42.204097174,o,101.09273,24.80652,9360.63,3700.4,2.6,2.47,-68.4,-0.413,18.94,19.67,01a60432o0046o
60433.24048,9.119,0.161,817693,131646,6.21130152,o,101.49401,24.79607,10355.63,6844.62,3.03,2.46,-60,-0.452,18.73,19.35,02a60433o0021o
60433.24365,6.535,0.162,8833642,1434285,6.158916812,o,101.49528,24.79603,10332.86,6804.89,2.79,2.22,-58.7,-0.481,18.9,19.59,02a60433o0028o
60433.25088,8.771,0.148,1126173,166141,6.778417127,o,101.49818,24.79594,10387.58,6884,2.96,2.31,-56.8,-0.472,18.95,19.71,02a60433o0044o
60434.27551,8.732,0.056,1166977,65850,17.721746393,o,101.91365,24.7838,1551.29,616.66,2.85,2.6,-53.7,-0.422,18.58,19.45,02a60434o0022o
60434.27867,8.505,0.054,1438834,77940,18.460790351,o,101.91493,24.78376,1529.15,577.5,3.17,2.87,-65.4,-0.418,18.42,19.43,02a60434o0029o
60434.29629,8.835,0.119,1061209,126057,8.418485288,o,101.92206,24.7835,1595.56,534.96,2.96,2.51,-52.7,-0.435,18.46,19.34,02a60434o0067o
60437.25276,9.552,0.191,548738,105066,5.222793291,o,103.13311,24.74097,6410.1,4951.71,2.09,1.92,37.3,-0.441,19.03,19.72,02a60437o0051o
60437.26461,8.873,0.112,1024762,114762,8.929454,o,103.13797,24.74076,6421.96,4834.85,2.01,1.97,-26.3,-0.436,19.06,19.76,02a60437o0077o
60656.64045,8.872,0.078,1025847,79919,12.836084035,o,201.48694,-2.51302,9772.47,3766.22,3.66,2.69,-1.2,-0.38,18.74,20.04,02a60656o0994o
60656.65372,7.526,0.227,3544545,805476,4.40055942,o,201.49235,-2.51475,9727.34,3693.18,3.09,2.65,-8.3,-0.403,18.83,19.97,02a60656o1023o
60700.57601,7.906,0.24,2497628,599978,4.162865971,c,218.04465,-6.75731,7206.9,8017.54,2.93,2.76,39.5,-0.383,19.35,21.13,02a60700o0810c
60700.58041,8.147,0.29,2001601,581196,3.443934576,c,218.04607,-6.75757,7130.6,8056.39,2.83,2.64,39,-0.389,19.38,21.12,02a60700o0819c
60714.61335,7.907,0.217,2496653,541437,4.61116067,o,222.2658,-7.36781,2837.82,5402.85,4.12,3.37,17.1,-0.335,19.11,20.98,01a60714o0853o
