###MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
57781.44036,0,0,0,0,c,0,-2,117.75163,24.38068,275.32,8143.25,3.89,3.51,35.5,-0.427,19.75,21.75,02a57781o0400c
57781.44241,8.005,0.096,2280509,218628,c,0,0,117.75107,24.38086,9764.96,8212.31,3.92,3.51,-83.8,-0.422,19.72,21.74,02a57781o0403c
57781.4507,7.92,1.225,2466893,3021330,c,0,0,117.74882,24.38157,374.66,8261.36,3.98,3.58,37,-0.431,19.73,21.73,02a57781o0418c
57781.46204,-5.363,0.036,-25990262,940560,c,0,0,117.74575,24.38254,399.24,8147.48,3.87,3.48,36.3,-0.428,19.72,21.69,02a57781o0438c
57781.46252,12.198,62.587,47937,3000225,c,0,0,117.74562,24.38258,9828.42,8297.45,3.76,3.16,-81.4,-0.414,19.74,21.7,02a57781o0439c
57781.4733,-8.247,1.022,-1824064,1864427,c,0,0,117.7427,24.3835,9851.17,8181.4,3.83,3.24,-83.6,-0.409,19.72,21.69,02a57781o0459c
57781.48336,7.437,0.777,3848204,2988172,c,0,0,117.73998,24.38435,376.88,8209.06,3.83,3.5,34.8,-0.44,19.69,21.65,02a57781o0477c
57781.48384,-5.862,0.525,-16414847,8621574,c,0,0,117.73985,24.38439,9821.45,8243.23,3.78,3.22,-84.6,-0.415,19.71,21.66,02a57781o0478c
57789.37023,7.907,0.102,2495928,253465,o,0,0,115.80156,25.0093,4684.39,1905.05,4.37,4.32,-17.8,-0.352,18.78,20.25,02a57789o0299o
57789.3771,0,0,0,0,o,0,-2,115.79993,25.00979,5753.48,8461.78,3.36,3.28,-2.9,-0.43,19.02,20.24,02a57789o0312o
57789.38608,0,0,0,0,o,0,-2,115.7978,25.01043,5813.55,8550.49,3.39,3.3,11.1,-0.449,19.01,20.22,02a57789o0329o
57789.40951,0,0,0,0,o,0,-2,115.79224,25.01209,5837.85,8433.98,3.36,3.25,-9.2,-0.434,19.01,20.23,02a57789o0371o
57789.41964,0,0,0,0,o,0,-2,115.78983,25.0128,5804.58,8491.53,3.34,3.22,-15,-0.416,19.01,20.21,02a57789o0389o
57797.37617,-6.862,0.944,-6534133,6168079,o,0,0,114.17594,25.5133,9024.87,1847.46,3.66,3.22,-89,-0.469,18.77,19.75,02a57797o0196o
57797.38698,0,0,0,0,o,0,-2,114.17391,25.51391,3927.37,9122.78,3.79,3.67,-35.8,-0.63,18.59,19.92,01a57797o0336o
57797.38912,6.364,0.395,10335168,4082934,o,0,0,114.17353,25.514,9013.06,1810.66,3.63,3.19,89.7,-0.471,18.79,19.75,02a57797o0219o
57797.39849,4.128,0.01,81065781,802518,o,0,0,114.17177,25.51453,3984.51,9202.89,3.84,3.71,-30.2,-0.631,18.57,19.92,01a57797o0357o
57797.40853,7.119,0.161,5158170,832672,o,0,0,114.16992,25.51503,9073.55,1894.91,3.74,3.34,89.1,-0.458,18.74,19.72,02a57797o0253o
57797.41477,-2.711,0,-299068027,0,o,0,0,114.16876,25.51536,9112.01,1777.4,3.71,3.3,89.3,-0.461,18.74,19.69,02a57797o0265o
57797.42004,4.164,0.01,78413266,786548,o,0,0,114.16777,25.51567,3923.59,9122.65,3.77,3.64,-22.1,-0.63,18.57,19.88,01a57797o0394o
57797.42602,4.339,0.009,66760940,576948,o,0,0,114.16666,25.51598,3905.1,9241.2,3.75,3.66,-28.7,-0.648,18.57,19.87,01a57797o0405o
57797.42982,6.869,0.679,6491436,4405884,o,0,0,114.16598,25.51616,9064.74,1838.97,3.71,3.34,88.6,-0.457,18.71,19.65,02a57797o0290o
57797.44015,2.884,6521193.9,254970537,1.66271E+15,o,0,0,114.16405,25.51673,3933.36,9179.03,3.69,3.58,-16.2,-0.66,18.55,19.81,01a57797o0430o
57799.33934,0,0,0,0,o,0,-2,113.84361,25.6163,3634.39,9465.22,3.8,3.67,-39.7,-0.6,19.06,20.92,01a57799o0219o
57799.36082,0,0,0,0,o,0,-2,113.83992,25.61738,3650.47,9504.1,3.73,3.6,-22,-0.619,19,20.72,01a57799o0257o
57799.37413,0,0,0,0,o,0,-2,113.83763,25.61804,3593.39,9426.65,3.77,3.6,-26.4,-0.616,18.95,20.66,01a57799o0279o
57799.38672,0,0,0,0,o,0,-2,113.83547,25.61867,3575.47,9543.19,3.77,3.59,-24.7,-0.614,18.93,20.62,01a57799o0300o
57801.35745,3.074,0.019,214021802,4156296,o,0,0,113.53124,25.71375,671.61,9983.45,4.07,3.98,-82.6,-0.585,18.87,20.74,01a57801o0229o
57801.36098,5.298,0,27589238,0,o,0,0,113.53069,25.71391,350.41,111.83,4.63,4.34,85.3,-0.52,18.87,20.75,01a57801o0235o
57801.36422,0,0,0,0,o,0,-2,113.53018,25.71406,10453.67,9741.05,4.13,3.24,87.2,-0.829,18.91,20.81,01a57801o0241o
57801.36742,0,0,0,0,o,0,-2,113.5297,25.71418,9814.45,2839.57,3.81,3.22,83.4,-0.469,19.38,21.02,02a57801o0281o
57801.3696,3.211,0.043,188561756,8148472,o,0,0,113.52934,25.71431,687.51,10022.31,4.02,3.84,-82.5,-0.609,18.87,20.75,01a57801o0251o
57801.37347,5.168,0.057,31092666,1784029,o,0,0,113.52873,25.71448,366.5,150.67,4.7,4.45,-86.2,-0.505,18.87,20.76,01a57801o0258o
57801.37655,0,0,0,0,o,0,-2,113.52825,25.71462,10417.56,9859.04,4.22,3.29,88.9,-0.84,18.89,20.79,01a57801o0264o
57801.37847,0,0,0,0,o,0,-2,113.52795,25.71471,9615.7,16.4,4.05,3.46,42.6,-0.802,18.91,20.78,01a57801o0267o
57801.38134,0,0,0,0,o,0,-2,113.5275,25.71484,572.05,9902.45,4.04,3.96,-81.9,-0.592,18.88,20.74,01a57801o0272o
57801.3851,6.26,0.11,11376647,1253642,o,0,2.65,113.52692,25.71501,291.48,69.5,4.77,4.51,-84.3,-0.507,18.86,20.74,01a57801o0279o
57801.39341,0,0,0,0,o,0,-2,113.52562,25.71538,552.21,10019.03,4.1,3.91,-80.1,-0.6,18.87,20.7,01a57801o0292o
57801.39704,7.399,0.875,3983153,3487203,o,0,0,113.52505,25.71554,274.19,186.48,4.7,4.36,-84.9,-0.524,18.85,20.65,01a57801o0299o
57801.39823,-6.271,0.347,-11265942,3905276,o,0,0,113.52489,25.71557,72.69,2913.39,3.89,3.53,81.5,-0.409,19.35,20.96,02a57801o0334o
57801.40039,0,0,0,0,o,0,-2,113.52455,25.71567,9807.94,2802.85,3.7,3.09,86.9,-0.461,19.36,20.96,02a57801o0338o
57801.40354,9.418,10.878,620386,6748571,o,0,0,113.52406,25.71581,9904.62,2925.44,3.78,3.2,84.1,-0.461,19.32,20.91,02a57801o0344o
57801.40482,6.517,0.136,8978780,1220765,o,0,0,113.52386,25.71586,92.65,2795.8,3.9,3.59,86.3,-0.41,19.28,20.84,02a57801o0346o
57801.41958,-6.807,0.217,-6875363,1494392,o,0,0,113.52157,25.71652,63.85,2856.18,3.87,3.53,82.2,-0.413,19.19,20.64,02a57801o0371o
57801.42017,0,0,0,0,o,0,-2,113.52148,25.71654,9905.31,2771.56,3.75,3.15,86.9,-0.465,19.22,20.7,02a57801o0372o
57801.42835,0,0,0,0,o,0,-2,113.52021,25.71691,9853.45,2827.23,3.68,3.09,86.2,-0.466,19.2,20.64,02a57801o0387o
57803.35051,3.75,0.017,114846794,2009258,o,0,0,113.25373,25.80175,1212.46,7290.47,4.58,4.34,-88.4,-0.504,18.79,20.85,01a57803o0120o
57803.36236,3.301,0.014,173577194,2404960,o,0,0,113.25206,25.80224,1228.25,7329.37,4.48,4.32,85.5,-0.513,18.82,20.86,01a57803o0142o
57803.37454,3.648,0.013,126172711,1652577,o,0,0,113.25034,25.80274,1170.26,7251.18,4.55,4.35,-81.4,-0.512,18.81,20.89,01a57803o0162o
57803.38649,3.167,0.012,196461391,2313681,o,0,0,113.24866,25.80323,1133.83,7366.77,4.48,4.23,-83.9,-0.509,18.83,20.87,01a57803o0181o
57805.33878,2.76,0.054,285855485,15333970,o,0,0,113.00828,25.8815,2588.9,7718.46,4.08,3.89,-58.5,-0.576,18.83,20.65,01a57805o0232o
57805.35314,2.293,0.121,439340318,53150462,o,0,0,113.00649,25.88203,2605.48,7757.04,4.06,3.94,-71.6,-0.57,18.79,20.62,01a57805o0258o
57805.36636,2.535,0.017,351519168,6082249,o,0,0,113.00484,25.88253,2550.02,7679.21,4.04,3.91,-65.2,-0.563,18.8,20.59,01a57805o0280o
57805.37521,-6.416,0.185,-9853631,1818484,c,0,0,113.00375,25.88283,8726.42,3656.71,3.92,3.57,88.8,-0.395,19.62,21.56,02a57805o0299c
57805.37867,3.544,0,138789112,0,o,0,0,113.0033,25.88298,2532.4,7794.68,4.11,3.94,-65.9,-0.565,18.79,20.59,01a57805o0300o
57805.3873,8.344,0.092,1669156,153593,c,0,0,113.00225,25.88327,8713.73,3617.45,4.04,3.76,85.2,-0.386,19.58,21.56,02a57805o0321c
57805.40715,8.38,0.052,1614618,83467,c,0,0,112.9998,25.88399,8773.22,3699.17,4.15,3.88,85,-0.384,19.56,21.52,02a57805o0355c
57805.41352,8.381,0.094,1613304,151864,c,0,0,112.99901,25.88422,8793.84,3581.4,3.93,3.71,78.7,-0.394,19.6,21.55,02a57805o0367c
57805.43706,8.89,0.125,1009509,126210,c,0,0,112.99612,25.88507,8764.32,3640.62,4.01,3.73,81.3,-0.393,19.53,21.51,02a57805o0407c
57807.31794,0,0,0,0,o,0,-2,112.79589,25.95305,9877.57,7778.88,3.74,3.05,89.2,-0.643,18.92,20.83,01a57807o0137o
57807.33794,3.421,0.006,155400001,891584,o,0,0,112.79371,25.95373,110.95,7963.22,4.47,4.16,85.1,-0.481,18.84,20.74,01a57807o0173o
57807.3504,3.806,0.004,109033692,483934,o,0,0,112.79236,25.95415,127.13,8001.81,4.62,4.31,88.1,-0.476,18.81,20.79,01a57807o0195o
57807.3567,2.578,0.316,338020226,106757429,o,0,0,112.79168,25.95436,9864.78,7897.72,3.98,3.23,-87.3,-0.62,18.86,20.79,01a57807o0205o
57807.36276,7.868,0.102,2585990,263593,o,0,9.58,112.79102,25.95456,71.78,7922.62,4.63,4.36,84.2,-0.469,18.85,20.79,01a57807o0216o
57809.32521,3.39,0.01,159953430,1562933,o,0,0,112.61327,26.01782,2451.6,6538.7,4.09,3.93,-71.9,-0.563,18.59,20.48,01a57809o0207o
57809.33981,5.205,0.006,30069438,179264,o,0,1124.87,112.61192,26.01825,2469.13,6577.68,4.12,3.97,-74.5,-0.564,16.88,18.7,01a57809o0233o
57809.35572,4.829,0.007,42496540,300369,o,0,1256.43,112.61047,26.01872,2413.83,6500.52,4.24,4.13,-80.9,-0.556,16.4,18.26,01a57809o0259o
57809.36787,4.536,0.012,55665884,666881,o,0,0,112.60936,26.01908,2397.31,6616.12,4.17,3.97,-72.9,-0.555,17.32,19.12,01a57809o0279o
57809.37666,7.985,0.139,2322479,323585,c,0,0,112.60858,26.0193,9685.66,1640.81,3.9,3.6,79.5,-0.446,17.62,19.33,02a57809o0298c
57809.38813,10.882,1.494,161106,240696,c,0,0,112.60754,26.01963,9671.89,1601.86,3.88,3.62,77.4,-0.435,17.4,19.1,02a57809o0318c
57809.4148,-10.717,1.586,-187640,297633,c,0,0,112.60514,26.02039,9751.87,1564.24,3.86,3.58,69,-0.446,18.83,20.69,02a57809o0365c
57809.43089,9.134,0.745,806022,600443,c,0,0,112.6037,26.02084,9718.95,1623.42,3.9,3.59,72.6,-0.44,19.05,20.94,02a57809o0392c
57817.27826,6.117,0.052,12973124,679145,o,0,0,112.22385,26.20112,9450.72,6763.82,3.54,3.44,79.8,-0.475,18.67,20.22,01a57817o0112o
57817.28154,9.31,0.11,685666,75382,c,0,55.94,112.22378,26.20115,9289.7,8998.91,4.02,3.78,-89,-0.454,18.99,20.54,02a57817o0042c
57817.29205,8.926,0.078,975971,75893,c,0,13.48,112.22352,26.20132,9324.27,8943.06,4.05,3.7,88.8,-0.45,19.01,20.55,02a57817o0063c
57817.29226,6.507,0.075,9059680,678582,o,0,0,112.2235,26.20135,9469.51,6801.94,3.65,3.51,73.5,-0.472,18.65,20.24,01a57817o0138o
57817.3071,6.591,0.165,8388966,1384564,o,0,0,112.22314,26.20158,9397.77,6723.89,3.68,3.57,63.3,-0.467,18.62,20.26,01a57817o0165o
57817.322,5.876,0.032,16202258,515675,o,0,0,112.22278,26.20181,9382.69,6841.83,3.7,3.63,-70.6,-0.463,18.67,20.36,01a57817o0191o
57819.24573,5.404,0.045,25015917,1136086,o,0,0,112.2098,26.22941,2623.05,3811.57,3.87,3.39,-76.5,-0.484,17.7,18.42,01a57819o0088o
57819.26754,5.506,0,22792211,0,o,0,0,112.20963,26.22971,2598.79,3765.45,3.99,3.5,-80.2,-0.486,17.68,18.32,01a57819o0129o
57819.2718,5.784,0.04,17634922,696623,o,0,0,112.20959,26.22976,2665.43,3842.52,4.18,3.58,-74.3,-0.482,17.66,18.32,01a57819o0137o
57819.28948,5.8,0.021,17370117,358795,o,0,0,112.20945,26.22999,2677.96,3720.94,4.32,3.75,-75.9,-0.447,17.58,18.25,01a57819o0169o
57826.39116,6.177,0,12275542,0,o,0,0,112.42172,26.2798,10291.02,7240.21,3.42,3.27,76.2,-0.466,18.33,19.54,01a57826o0247o
57826.39312,6.961,0.017,5966542,104288,o,0,125.88,112.42183,26.27979,500.59,7386.31,5.01,4.28,62,-0.464,18.38,19.61,01a57826o0251o
57826.40064,7.371,2.168,4089514,8865539,o,0,0,112.42222,26.27979,9701.26,7841.62,3.34,3.3,-84.1,-0.475,18.28,19.49,01a57826o0265o
57826.40479,10.243,9.319,290181,2704328,o,0,0,112.42246,26.27976,289.6,3175.24,3.78,3.54,-79.9,-0.414,17.97,18.65,02a57826o0345o
57826.40673,10.454,0.001,238996,212,o,0,101131.37,112.42256,26.27976,10084.86,3198.57,3.89,3.62,56.3,-0.478,17.94,18.72,02a57826o0349o
57826.41268,6.985,0.008,5834759,47689,o,0,243.76,112.42285,26.27977,805.99,8260.69,4.97,4.45,54.6,-0.444,18.28,19.49,01a57826o0287o
57826.41445,10.573,0.001,214264,253,o,0,30163.74,112.42297,26.27975,888.25,2581.29,3.69,3.49,-81.7,-0.447,17.97,18.62,02a57826o0363o
57826.42361,7.057,0.615,5460344,3358142,o,0,0,112.42344,26.27976,9388.19,6978.6,3.37,3.24,-49,-0.488,18.17,19.32,01a57826o0308o
57826.42686,10.653,0.001,198941,225,o,0,50827.98,112.42363,26.27973,9793.6,2314.09,3.7,3.13,81.7,-0.505,17.97,18.65,02a57826o0385o
57826.43934,10.496,0.001,230027,198,o,0,123714.46,112.42431,26.27972,1182.04,3453.68,3.68,3.47,-83.7,-0.451,17.84,18.45,02a57826o0408o
57827.27436,6.438,0.228,9654437,2200754,o,0,0,112.47701,26.28074,9643.28,2764.67,3.89,3.68,23.1,-0.426,19.01,20.78,01a57827o0111o
57827.28588,6.628,0.153,8103366,1240664,o,0,0,112.47766,26.28074,979.1,7830.03,3.78,3.44,67,-0.48,18.85,20.41,01a57827o0134o
57827.30249,6.358,0.128,10395687,1331802,o,0,0,112.4786,26.28073,909.39,7753.18,3.77,3.38,81.2,-0.477,18.74,20.23,01a57827o0165o
57827.31792,5.705,0.007,18963714,127014,o,0,0,112.47948,26.28072,894.5,7872.23,4.19,3.71,78.2,-0.464,18.63,20.15,01a57827o0191o
57827.43443,0,0,0,0,o,0,-2,112.48641,26.28045,136.45,3133.17,3.8,3.41,84,-0.415,17.98,18.72,02a57827o0380o
57827.43539,10.737,0.001,184149,212,o,0,90234.31,112.48647,26.28045,9973.2,3194.84,3.71,3.06,86.6,-0.475,18.06,18.84,02a57827o0382o
57827.44241,10.036,0.001,351122,378,o,0,99891.48,112.4869,26.28043,775.48,2583.5,3.81,3.5,87.7,-0.433,17.96,18.65,02a57827o0395o
57827.45066,10.758,0.001,180664,212,o,0,61217.72,112.48742,26.2804,9679.58,2312.36,3.62,3.12,82.6,-0.485,18.01,18.73,02a57827o0411o
57827.4589,10.501,0.001,228834,206,o,0,98747.56,112.48794,26.28038,1072.8,3455.17,3.73,3.42,83.8,-0.44,17.86,18.51,02a57827o0427o
57829.2314,7.157,0.411,4981565,2045970,o,0,0,112.61915,26.27835,223.1,2373.72,4.19,3.32,-81.1,-0.554,18.84,20.59,01a57829o0026o
57829.2526,7.185,0.011,4851579,54354,o,0,1117.64,112.62066,26.2783,10402.52,8160.41,4.71,3.8,67.6,-0.39,19.01,20.85,01a57829o0066o
57829.26177,6.005,0,14385713,0,o,0,0,112.62132,26.27828,599.69,8280.59,3.55,3.17,82.1,-0.499,19.04,20.85,01a57829o0083o
57829.2675,6.923,0.011,6177829,66654,o,0,390.64,112.62173,26.27826,10350.55,8084.26,4.64,3.86,68.6,-0.407,18.96,20.83,01a57829o0093o
57829.27685,6.12,0.059,12945434,764039,o,0,0,112.6224,26.27823,621.78,8321.18,4.01,3.46,73.5,-0.474,19.02,20.9,01a57829o0110o
57829.28215,7.939,0.034,2422844,81751,o,0,85.27,112.62278,26.27821,10337.97,8200.96,4.62,3.72,66,-0.39,19.02,20.89,01a57829o0120o
57829.29165,5.692,0.011,19201312,207189,o,0,0,112.62346,26.27818,553.2,8244.52,4.24,3.66,74.3,-0.47,19.03,20.93,01a57829o0137o
57829.30646,5.572,0.009,21443563,189400,o,0,0,112.62453,26.27813,538.5,8361.4,3.94,3.58,78.7,-0.477,19.05,20.92,01a57829o0164o
57829.31492,7.044,0.024,5524735,134362,o,0,40.75,112.62516,26.27807,444.82,1469.24,3.97,3.78,-75.7,-0.421,18.61,20.08,02a57829o0185o
57829.32384,5.922,0.151,15524448,2337546,o,0,0,112.62581,26.27804,10246.18,1494.26,3.83,3.41,74.2,-0.489,18.64,20.11,02a57829o0199o
57829.32635,6.97,0.03,5914138,178429,o,0,0,112.62599,26.27803,410.47,1431.58,3.96,3.88,-40.2,-0.411,18.6,20.06,02a57829o0203o
57829.33258,8.933,0.648,969676,628201,o,0,0,112.62644,26.278,10228.82,1454.07,3.9,3.51,70.4,-0.495,18.61,20.08,02a57829o0214o
57829.33835,7.911,0.218,2485554,541336,o,0,0,112.62686,26.27798,482.69,1507.37,3.87,3.64,-83.2,-0.432,18.62,20.01,02a57829o0225o
57829.35423,-12.056,4.685,-54660,256091,o,0,0,112.62803,26.2779,502.26,1389.27,4.23,3.91,-6.8,-0.387,18.37,19.64,02a57829o0253o
57829.35477,5.447,0.267,24052455,6423815,o,0,0,112.62807,26.2779,10284.4,1535.17,3.79,3.38,72.4,-0.476,18.48,19.71,02a57829o0254o
57829.36101,7.521,0.113,3561436,402448,o,0,0,112.62853,26.27787,10304.94,1415.09,4.16,3.75,23.4,-0.459,18.34,19.6,02a57829o0266o
57829.36149,8.212,0.194,1885342,365334,o,0,0,112.62857,26.27787,467.52,1444.78,3.83,3.6,-88.7,-0.435,18.41,19.51,02a57829o0267o
57829.3755,6.404,0,9962250,0,o,0,0,112.62961,26.2778,10268.35,1474.43,3.78,3.26,77.9,-0.476,18.34,19.42,02a57829o0291o
57831.22958,6.406,0.056,9942426,553867,o,0,0,112.79366,26.27014,1475.46,2174.3,3.84,3.16,-88.6,-0.511,18.74,20.28,01a57831o0023o
57831.24718,-11.017,3.657,-142263,520243,o,0,0,112.79518,26.27005,9147.8,8371.21,4.03,3.4,69.6,-0.464,19.02,20.73,01a57831o0055o
57831.25483,6.787,0.091,7001479,634810,o,0,0,112.79584,26.27,9076.06,8292.63,3.85,3.33,68.5,-0.469,19.04,20.73,01a57831o0069o
57831.26917,8.326,0.211,1697319,358282,o,0,0,112.79708,26.26992,9065.94,8410.98,3.96,3.5,67.8,-0.458,19,20.73,01a57831o0096o
57833.32047,7.937,0.003,2427161,6404,c,0,3708.89,113.00701,26.25533,9102.75,1180.71,3.83,3.67,-87.8,-0.419,18.97,20.75,02a57833o0181c
57833.3317,8.07,0.003,2148227,7213,c,0,2201.44,113.00816,26.25522,9085.96,1138.87,3.92,3.81,0.2,-0.407,18.94,20.75,02a57833o0202c
57833.35408,7.995,0.011,2301623,24241,c,0,294.92,113.01047,26.25499,9133.91,1218.35,3.81,3.55,-89.5,-0.425,18.97,20.71,02a57833o0244c
57833.36989,8.283,0.051,1764811,89953,c,0,0,113.01211,26.25482,9154.08,1100.99,3.8,3.53,-89.9,-0.429,18.95,20.65,02a57833o0272c
57833.37834,6.859,0.005,6551944,34349,c,0,0,113.01299,26.25473,9118.43,1157.98,3.81,3.56,-88.6,-0.426,18.92,20.64,02a57833o0287c
57835.28112,6.608,0.071,8257547,582910,o,0,0,113.23662,26.23596,924.11,8370.64,3.89,3.61,60.9,-0.458,18.85,20.63,01a57835o0034o
57836.23244,7.646,0.029,3173522,92056,o,0,0,113.35805,26.2246,7774.69,2722.62,4.46,3.94,33.6,-0.428,18.67,20.49,01a57836o0017o
57836.24887,0,0,0,0,o,0,-2,113.36006,26.2244,2808.86,7817.39,3.33,3.19,70.7,-0.494,18.96,20.8,01a57836o0048o
57837.31284,10.376,0.001,256729,168,c,0,297486.48,113.50251,26.2101,7478.07,2158.06,3.97,3.84,75.1,-0.388,18.82,20.53,02a57837o0095c
57837.33162,10.441,0.001,241872,166,c,0,350099.7,113.50496,26.2098,7457.72,2118.03,3.85,3.71,75.9,-0.401,18.84,20.53,02a57837o0130c
57837.34988,10.324,0.001,269395,169,c,0,491766.52,113.50737,26.20951,7505.94,2196.27,4.01,3.89,82.6,-0.385,18.78,20.48,02a57837o0164c
57837.35616,10.338,0.001,265882,168,c,0,531231.43,113.5082,26.20941,7523.72,2078.31,3.93,3.8,74.1,-0.391,18.78,20.47,02a57837o0176c
57837.38009,10.219,0.001,296761,179,c,0,570141.83,113.51137,26.20901,7483.54,2135.11,4.09,4.02,74.5,-0.389,18.73,20.46,02a57837o0218c
57839.22833,7.143,0.033,5043767,166548,o,0,0,113.77993,26.18064,8771.68,4138,3.78,3.36,33.7,-0.452,18.73,20.15,01a57839o0016o
57839.23543,6.096,0.306,13237092,4047380,o,0,0,113.78094,26.18052,1838.56,6455.44,3.4,3.07,84.8,-0.508,18.98,20.65,01a57839o0029o
57840.22744,7.822,0.033,2698890,90244,o,0,4.9,113.93405,26.16325,7110.7,1635.63,4.35,3.67,32,-0.428,18.57,19.83,01a57840o0014o
57840.22797,7.877,0.03,2566296,78205,o,0,0,113.93413,26.16324,7092.93,1596.64,4.31,3.64,30.3,-0.434,18.64,19.94,01a57840o0015o
57840.23666,6.047,0.259,13844850,3585706,o,0,0,113.93543,26.16308,3449.77,8870.03,3.1,3.04,61.3,-0.506,19.05,20.74,01a57840o0031o
57840.2564,6.293,0.183,11033599,2014508,o,0,0,113.93839,26.16272,3442.64,8987.27,3.34,3.22,52.1,-0.489,19.05,20.81,01a57840o0068o
57841.31188,10.544,0.001,219977,158,c,0,286626.74,114.10813,26.14276,6383.87,3357.17,3.88,3.69,84.9,-0.376,18.87,20.59,02a57841o0159c
57841.33173,10.792,0.001,175016,141,c,0,333278.32,114.11127,26.14234,6363.3,3316.54,3.94,3.77,88.8,-0.369,18.85,20.6,02a57841o0197c
57841.33642,10.671,0.001,195716,148,c,0,310012.2,114.11201,26.14224,6414.83,3393.56,3.97,3.82,82.8,-0.372,18.83,20.58,02a57841o0206c
57841.35012,10.466,0.001,236289,162,c,0,306911.27,114.11418,26.14194,6431.25,3276.44,3.89,3.75,84.9,-0.376,18.82,20.54,02a57841o0232c
57841.37064,10.365,0.001,259532,170,c,0,323011.19,114.11746,26.14149,6391.05,3332.47,4,3.87,87,-0.366,18.73,20.45,02a57841o0271c
57843.22257,7.049,0.081,5500444,448256,o,0,0,114.43502,26.10305,5305.98,2185.36,3.7,3.33,23.3,-0.492,17.74,18.2,01a57843o0018o
57843.22993,6.917,0.022,6210108,134429,o,0,0,114.43627,26.10289,5317.74,2223.33,3.62,3.35,22.9,-0.489,18.69,20.06,01a57843o0029o
57843.23711,6.098,0.217,13203170,2860369,o,0,0,114.43748,26.10273,5235.56,8272.06,3.07,2.99,19.9,-0.507,18.99,20.62,01a57843o0042o
57843.25075,0,-11.165,0,1.0616E+14,o,0,0,114.43979,26.10242,5226.21,8388.35,3.18,3.04,23.7,-0.502,18.99,20.67,01a57843o0068o
57844.22476,7.442,0.024,3831764,93528,o,0,3.05,114.61531,26.08023,4945.45,3285.85,4.41,4.17,28.5,-0.471,17.86,18.89,01a57844o0007o
57844.2308,6.906,0.061,6275951,382926,o,0,0,114.61637,26.08009,4959.04,3323.76,3.87,3.62,18.6,-0.498,18.65,20.19,01a57844o0017o
57844.23793,-3.447,0,-151744869,0,o,0,0,114.61762,26.07992,5585.15,7168.25,3.28,3.13,43.6,-0.494,18.93,20.61,01a57844o0030o
57844.24942,6.435,0.099,9683993,961371,o,0,0,114.61963,26.07964,5576.73,7284.41,3.12,3.01,34.6,-0.501,19,20.69,01a57844o0052o
57845.24581,10.108,0.001,328757,185,c,0,588361.92,114.80521,26.05558,8041.19,2336.7,4.48,4.26,24.2,-0.394,18.41,19.87,02a57845o0051c
57845.25306,9.755,0,454847,212,c,0,757184.82,114.80652,26.05539,8019.61,2291.13,6.06,4.41,3.8,-0.366,18.24,19.9,02a57845o0064c
57845.27052,10.084,0.001,336001,193,c,0,557706.94,114.8097,26.05495,8084.7,2370.16,4.65,4.05,11.3,-0.441,18.45,19.94,02a57845o0096c
57845.28386,10.307,0.001,273600,181,c,0,350774.3,114.81213,26.0546,8100.21,2250.76,4.06,3.73,76.1,-0.458,18.53,19.91,02a57845o0119c
57845.28674,10.312,0.001,272287,184,c,0,295386.79,114.81265,26.05453,8047.21,2307.73,4.02,3.71,78.8,-0.466,18.53,19.91,02a57845o0124c
57848.23103,0,0,0,0,o,0,-2,115.39658,25.97573,4416.48,7356.65,2.98,2.86,28.3,-0.517,17.93,18.53,01a57848o0012o
57848.23151,0,0,0,0,o,0,-2,115.39668,25.97572,4381.24,7318.34,2.94,2.84,29.4,-0.517,17.95,18.55,01a57848o0013o
57848.23844,0,0,0,0,o,0,-2,115.39806,25.97551,4350.83,7281.84,2.96,2.84,27,-0.519,18,18.66,01a57848o0024o
57848.25199,0,0,0,0,o,0,-2,115.40076,25.97512,4341.03,7397.78,3.05,2.92,26,-0.507,17.98,18.69,01a57848o0052o
57853.26185,7.037,0.003,5563048,19042,o,0,671.15,116.50622,25.81467,1549.02,1434.56,3.85,3.52,86.1,-0.43,17.52,18.03,02a57853o0101o
57853.26673,10.333,0.001,267098,205,o,0,161996.83,116.50733,25.81449,1526.66,1393.94,3.85,3.53,85.4,-0.431,17.61,18.02,02a57853o0111o
57853.27841,6.998,0.003,5764575,20096,o,0,228.54,116.50999,25.81407,1589.23,1469.87,3.87,3.63,86.4,-0.433,16.84,16.98,02a57853o0135o
57853.28961,10.279,0.001,280736,207,o,0,253248.6,116.51254,25.81366,1600.04,1351.65,3.81,3.54,89.1,-0.437,17.45,17.99,02a57853o0158o
57853.29986,10.324,0.001,269338,202,o,0,187639.41,116.51487,25.81328,1545.02,1408.2,3.86,3.62,-89.2,-0.425,17.58,17.99,02a57853o0179o
57863.32852,7.173,0.009,4908143,46213,o,0,20.89,119.10794,25.39282,2916.78,9478.18,4.54,4.42,64.7,-0.394,18.02,19.37,01a57863o0213o
57863.33993,7.314,0.007,4309822,28988,o,0,17.35,119.11111,25.39224,2937.96,9517.38,4.79,4.66,61.8,-0.373,17.97,19.35,01a57863o0235o
57863.35695,7.46,0.008,3765720,30620,o,0,16.58,119.11584,25.39138,2890.49,9440.9,5.07,4.92,54.3,-0.347,17.91,19.27,01a57863o0268o
